<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/italian#sentipolc16'>sentipolc16</a>,<a href='https://euroeval.com/datasets/italian#multinerd-it'>multinerd_it</a>,<a href='https://euroeval.com/datasets/italian#scala-it'>scala_it</a>,<a href='https://euroeval.com/datasets/italian#squad-it'>squad_it</a>,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (zero-shot, val)</a>",📝,-,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (val)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (val)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/BSC-LT/salamandra-2b-instruct'>BSC-LT/salamandra-2b-instruct</a>,📝,-,2253490176.0,256000.0,8192.0,✓,✗,(✓),✓,29.80 ± 3.91 / 47.09 ± 4.04,-,1.14 ± 1.32 / 45.92 ± 2.65,-,15.7.2.dev0,-,15.7.2.dev0,-
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base</a>,📝,-,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/BSC-LT/salamandra-2b'>BSC-LT/salamandra-2b</a>,🧠,-,2253490176.0,256000.0,8192.0,✓,✗,(✓),✓,29.64 ± 5.99 / 43.91 ± 6.28,-,2.88 ± 1.46 / 46.06 ± 2.83,-,15.7.2.dev0,-,15.7.2.dev0,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct (zero-shot)</a>,📝,-,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct'>AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct (zero-shot)</a>,📝,-,7111057408.0,64000.0,2048.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (zero-shot, val)</a>",📝,-,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (zero-shot)</a>,📝,-,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (zero-shot)</a>,📝,-,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (zero-shot, val)</a>",📝,-,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct (zero-shot)</a>,📝,-,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct (val)</a>,📝,-,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct (zero-shot, val)</a>",📝,-,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct (val)</a>,📝,-,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct (zero-shot, val)</a>",📝,-,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct (zero-shot)</a>,📝,-,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct (val)</a>,📝,-,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (zero-shot, val)</a>",📝,-,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (zero-shot)</a>,📝,-,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512</a>,📝,-,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct (zero-shot, val)</a>",📝,-,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512 (zero-shot, val)</a>",📝,-,?,?,?,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512 (val)</a>,📝,-,?,?,?,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct (zero-shot)</a>,📝,-,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512 (zero-shot, val)</a>",📝,-,?,?,?,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct (zero-shot, val)</a>",📝,-,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (zero-shot, val)</a>",📝,-,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8</a>,📝,-,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global</a>,📝,-,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (zero-shot)</a>,📝,-,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (zero-shot, val)</a>",📝,-,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking (zero-shot, val)</a>",📝,-,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking (val)</a>,📝,-,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking (zero-shot)</a>,📝,-,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (val)</a>,🤔,-,?,?,400000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water</a>,📝,-,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct'>AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct</a>,📝,-,7111057408.0,64000.0,2048.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (zero-shot)</a>,📝,-,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct (zero-shot, val)</a>",📝,-,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct (val)</a>,📝,-,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct (zero-shot)</a>,📝,-,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct (val)</a>,📝,-,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct (zero-shot)</a>,📝,-,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking (val)</a>,📝,-,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct (val)</a>,📝,-,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct (zero-shot)</a>,📝,-,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct (val)</a>,📝,-,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct (zero-shot, val)</a>",📝,-,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (zero-shot)</a>,📝,-,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT (zero-shot, val)</a>",📝,-,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT (val)</a>,📝,-,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT (zero-shot)</a>,📝,-,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT (zero-shot, val)</a>",📝,-,?,103424.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT (val)</a>,📝,-,?,103424.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT (zero-shot)</a>,📝,-,?,103424.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview (zero-shot, val)</a>",📝,-,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001</a>,🤔,-,?,?,200000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview (val)</a>,📝,-,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/arcee-ai/Trinity-Nano-Base'>arcee-ai/Trinity-Nano-Base (zero-shot, val)</a>",📝,-,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/arcee-ai/Trinity-Nano-Base'>arcee-ai/Trinity-Nano-Base (val)</a>,📝,-,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/arcee-ai/Trinity-Nano-Base'>arcee-ai/Trinity-Nano-Base (zero-shot)</a>,📝,-,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (val)</a>,📝,-,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/arcee-ai/Trinity-Mini-Base'>arcee-ai/Trinity-Mini-Base (zero-shot, val)</a>",📝,-,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/arcee-ai/Trinity-Mini-Base'>arcee-ai/Trinity-Mini-Base (val)</a>,📝,-,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/arcee-ai/Trinity-Mini-Base'>arcee-ai/Trinity-Mini-Base (zero-shot)</a>,📝,-,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/arcee-ai/AFM-4.5B'>arcee-ai/AFM-4.5B (zero-shot, val)</a>",📝,-,4619189760.0,128005.0,65536.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/arcee-ai/AFM-4.5B'>arcee-ai/AFM-4.5B (val)</a>,📝,-,4619189760.0,128005.0,65536.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/arcee-ai/AFM-4.5B'>arcee-ai/AFM-4.5B (zero-shot)</a>,📝,-,4619189760.0,128005.0,65536.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (zero-shot, val)</a>",📝,-,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview (zero-shot)</a>,📝,-,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot)</a>,🤔,-,?,?,200000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (val)</a>,🤔,-,?,?,200000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking</a>,📝,-,?,?,200000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/emillykkejensen/Llama-3-8B-instruct-dansk'>emillykkejensen/Llama-3-8B-instruct-dansk (val)</a>,📝,-,?,128256.0,8192.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/emillykkejensen/Llama-3-8B-instruct-dansk'>emillykkejensen/Llama-3-8B-instruct-dansk (zero-shot)</a>,📝,-,?,128256.0,8192.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/emillykkejensen/Llama-3-8B-instruct-dansk'>emillykkejensen/Llama-3-8B-instruct-dansk</a>,📝,-,?,128256.0,8192.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking (val)</a>,📝,-,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking (zero-shot, val)</a>",📝,-,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B (zero-shot, val)</a>",📝,-,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B (val)</a>,📝,-,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B (zero-shot)</a>,📝,-,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B (zero-shot, val)</a>",📝,-,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B (val)</a>,📝,-,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B (zero-shot)</a>,📝,-,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B (zero-shot, val)</a>",📝,-,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B (val)</a>,📝,-,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B (zero-shot)</a>,📝,-,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B (zero-shot, val)</a>",📝,-,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B (val)</a>,📝,-,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B (zero-shot)</a>,📝,-,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
"<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B (zero-shot, val)</a>",📝,-,3606752256.0,128256.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B (val)</a>,📝,-,3606752256.0,128256.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B (zero-shot)</a>,📝,-,3606752256.0,128256.0,131072.0,✓,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (val)</a>,🤔,-,?,?,?,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot)</a>,🤔,-,?,?,?,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6</a>,🤔,-,?,?,?,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (val)</a>,📝,-,?,?,200000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot)</a>,📝,-,?,?,200000.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct (zero-shot, val)</a>",📝,-,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct (val)</a>,📝,-,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct (zero-shot)</a>,📝,-,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT (zero-shot, val)</a>",📝,-,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,-,-,-,-,-,-,-,-
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B</a>,📝,-,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking (val)</a>,📝,-,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-,-,-,-,-,-
"<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (zero-shot, val)</a>",📝,-,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (zero-shot)</a>,📝,-,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,-,-,-,-,-,-,-,-
