<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/italian#sentipolc16'>sentipolc16</a>,<a href='https://euroeval.com/datasets/italian#multinerd-it'>multinerd_it</a>,<a href='https://euroeval.com/datasets/italian#scala-it'>scala_it</a>,<a href='https://euroeval.com/datasets/italian#squad-it'>squad_it</a>,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version
<a href='https://hf.co/meta-llama/Llama-3.1-405B'>meta-llama/Llama-3.1-405B</a>,🧠,1.86,405853388800.0,128256.0,131072.0,✓,✗,(✓),✓,57.25 ± 1.93 / 63.57 ± 2.68,78.32 ± 1.81 / 68.21 ± 1.48,45.10 ± 5.55 / 70.32 ± 4.02,75.85 ± 5.50 / 61.07 ± 5.10,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.88,24011361280.0,131072.0,?,✓,✗,(✓),✓,67.02 ± 1.11 / 76.70 ± 1.34,80.03 ± 1.90 / 67.16 ± 2.37,34.67 ± 3.50 / 61.01 ± 4.17,74.76 ± 1.50 / 53.11 ± 3.87,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.88,?,?,?,✓,✗,✗,✓,70.89 ± 1.41 / 77.85 ± 1.23,83.37 ± 1.31 / 57.00 ± 1.74,28.20 ± 2.05 / 51.35 ± 1.54,74.15 ± 1.15 / 48.90 ± 1.27,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview</a>,📝,1.91,32763876352.0,152064.0,32768.0,✓,✗,(✓),✗,65.61 ± 1.38 / 75.69 ± 1.19,80.32 ± 1.18 / 55.07 ± 1.40,37.90 ± 3.92 / 62.34 ± 4.35,69.69 ± 0.81 / 44.61 ± 1.50,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,1.93,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,54.22 ± 1.37 / 67.37 ± 1.19,68.83 ± 2.18 / 49.32 ± 1.85,49.54 ± 1.24 / 74.39 ± 0.75,75.65 ± 0.66 / 56.39 ± 0.82,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT</a>,📝,1.93,70553706496.0,128256.0,8192.0,✓,✗,(✓),✗,66.56 ± 0.99 / 76.56 ± 1.04,81.08 ± 1.00 / 59.56 ± 2.63,33.59 ± 3.24 / 63.55 ± 3.67,70.68 ± 0.90 / 45.66 ± 2.45,15.11.0.dev0,15.11.0.dev0,15.11.0.dev0,15.11.0.dev0
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B</a>,🧠,1.94,70553706496.0,128256.0,8192.0,✓,✗,(✓),✓,66.35 ± 1.15 / 76.83 ± 0.96,84.06 ± 0.78 / 69.26 ± 1.96,29.93 ± 5.12 / 61.63 ± 3.98,74.61 ± 2.23 / 54.81 ± 3.74,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.95,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,68.71 ± 0.87 / 78.30 ± 0.86,83.18 ± 0.90 / 60.15 ± 2.05,29.83 ± 2.93 / 58.94 ± 2.79,70.47 ± 1.03 / 44.14 ± 2.42,15.9.1,15.9.1,15.9.1,15.9.1
<a href='https://ollama.com/library/phi4:14b-q4_K_M'>ollama_chat/phi4:14b-q4_K_M (val)</a>,📝,1.95,14700000000.0,100352.0,16384.0,✓,✗,✗,✓,62.91 ± 1.86 / 73.91 ± 1.36,73.54 ± 2.42 / 62.83 ± 3.27,40.57 ± 3.38 / 67.59 ± 2.86,73.52 ± 0.95 / 47.84 ± 2.05,15.3.0.dev0,15.3.0.dev0,15.3.0.dev0,15.3.0.dev0
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,1.96,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,59.59 ± 1.48 / 72.35 ± 1.14,68.40 ± 0.96 / 56.27 ± 1.40,50.97 ± 1.39 / 75.04 ± 0.82,71.49 ± 1.11 / 52.18 ± 1.30,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,1.97,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,60.01 ± 1.28 / 68.56 ± 1.45,63.51 ± 1.58 / 45.74 ± 3.19,59.27 ± 4.73 / 77.77 ± 4.02,62.67 ± 2.07 / 43.76 ± 2.46,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,1.97,405868625920.0,128256.0,131072.0,✓,✗,(✓),✓,66.62 ± 1.51 / 75.75 ± 1.47,85.35 ± 1.06 / 74.53 ± 1.11,26.04 ± 3.25 / 57.23 ± 1.56,71.75 ± 1.55 / 46.85 ± 4.27,15.11.0.dev0,15.11.0.dev0,15.11.0.dev0,15.11.0.dev0
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.97,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,64.24 ± 1.33 / 74.08 ± 1.27,78.41 ± 0.87 / 52.04 ± 2.37,33.55 ± 2.98 / 59.78 ± 2.74,70.95 ± 0.83 / 49.28 ± 1.91,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
